id,title,description,correct_label,confidence,label_source,review_required
65,Result grids should be displayed with proper column and row spacing.,Result grids should be displayed with proper column and row spacing.,unknown,0.7,rule:no-signal,true
66,Pagination should be enabled when there are more results than the default result count per page.,Pagination should be enabled when there are more results than the default result count per page.,unknown,0.7,rule:no-signal,true
67,"Check for Next, Previous, First and Last page pagination functionality.","Check for Next, Previous, First and Last page pagination functionality.",unknown,0.7,rule:no-signal,true
68,Duplicate records should not be displayed in the result grid.,Duplicate records should not be displayed in the result grid.,checklists,0.76,rule:keywords,true
69,Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,unknown,0.7,rule:no-signal,true
70,Check the data for dynamic columns (columns whose values are calculated dynamically based on the other column values).,Check the data for dynamic columns (columns whose values are calculated dynamically based on the other column values).,unknown,0.7,rule:no-signal,true
71,For result grids showing reports check ‘Totals’ row and verify the total for every column.,For result grids showing reports check ‘Totals’ row and verify the total for every column.,unknown,0.7,rule:no-signal,true
72,For result grids showing reports check ‘Totals’ row data when pagination is enabled and the user gets navigated to the next page.,For result grids showing reports check ‘Totals’ row data when pagination is enabled and the user gets navigated to the next page.,users,0.76,rule:keywords,true
73,Check if proper symbols are used for displaying column values e.g. % symbol should be displayed for percentage calculation.,Check if proper symbols are used for displaying column values e.g. % symbol should be displayed for percentage calculation.,unknown,0.7,rule:no-signal,true
74,Check result grid data to know if the date range is enabled.,Check result grid data to know if the date range is enabled.,checklists,0.76,rule:keywords,true
75,Check if the default window size is correct.,The default window size should be as expected.,checklists,0.76,rule:keywords,true
76,Check if the child window size is correct.,The child window size should be as expected.,checklists,0.76,rule:keywords,true
77,"Check if there is any field on the page with default focus (in general, the focus should be set on the first input field of the screen).","Check if there is any field on the page with default focus (in general, the focus should be set on the first input field of the screen).",checklists,0.76,rule:keywords,true
78,Check if child windows are getting closed on closing parent/opener window.,Child windows should always close on closing parent window. The child windows should not remain open when parent window is closed.,checklists,0.76,rule:keywords,true
80,"Check window minimize, maximize, and close functionality.","Check window minimize, maximize, and close functionality.",checklists,0.76,rule:keywords,true
81,Check if the window is re-sizable.,Check if the window is re-sizable.,checklists,0.76,rule:keywords,true
82,Check scroll bar functionality for parent and child windows.,Check scroll bar functionality for parent and child windows.,unknown,0.7,rule:no-signal,true
83,Check cancel button functionality for the child window.,Check cancel button functionality for the child window.,checklists,0.76,rule:keywords,true
85,Check values for columns that are not accepting null values.,the columns which don't accept nullvalues should not accept null values even if it'sforceibly inserted.,unknown,0.7,rule:no-signal,true
86,Check for data integrity. Data should be stored in single or multiple tables based on the design.,Check for data integrity. Data should be stored in single or multiple tables based on the design. These tables should be as per what is mentioned in the base document.,unknown,0.7,rule:no-signal,true
87,Index names should be given as per the standards e.g. IND_<Tablename>_<ColumnName>,Index names should be given as per the standards e.g. IND_<Tablename>_<ColumnName>. These names should be as per the base document.,unknown,0.7,rule:no-signal,true
88,Tables should have a primary key column.,Tables should have a primary key column.,unknown,0.7,rule:no-signal,true
89,"Table columns should have description information available (except for audit columns like created date, created by, etc.)","Table columns should have description information available (except for audit columns like created date, created by, etc.)",unknown,0.7,rule:no-signal,true
91,Required table indexes should be created.,Required table indexes should be created.,unknown,0.7,rule:no-signal,true
93,Data should be rolled back in case of failed transactions.,Data should be rolled back in case of failed transactions.,unknown,0.7,rule:no-signal,true
96,Stored procedures should not be named with a prefix “sp_”,Stored procedures should not be named with a prefix “sp_”,unknown,0.7,rule:no-signal,true
97,"Check if values for table audit columns (like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.) are populated properly.","Check if values for table audit columns (like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.) are populated properly.",unknown,0.7,rule:no-signal,true
98,Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same.,Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same.,unknown,0.65,rule:tie,true
99,"Check numeric fields with minimum, maximum, and float values.","Check numeric fields with minimum, maximum, and float values. The max acceptable values, min acceptable values etc. should be as expected.",unknown,0.7,rule:no-signal,true
100,Check numeric fields with negative values (for both acceptance and non-acceptance).,Check numeric fields with negative values (for both acceptance and non-acceptance). If negative values are accepted then it should be accepted but if negative values are not acceptable then user should be able to enter negative values.,users,0.76,rule:keywords,true
103,"Check if all the table constraints like a Primary key, Foreign key, etc. are implemented correctly.","Check if all the table constraints like a Primary key, Foreign key, etc. are implemented correctly.Should be as per the base document.",unknown,0.7,rule:no-signal,true
104,Test stored procedures and triggers with sample input data.,Test stored procedures and triggers with sample input data.,unknown,0.7,rule:no-signal,true
105,Input field leading and trailing spaces should be truncated before committing data to the database.,Input field leading and trailing spaces should be truncated before committing data to the database.,checklists,0.76,rule:keywords,true
106,Null values should not be allowed for the Primary key column.,Null values should not be allowed for the Primary key column.,unknown,0.7,rule:no-signal,true
107,Check for uploaded image path.,Check for uploaded image path. The path should be as mentione din base document.,unknown,0.7,rule:no-signal,true
108,Check image upload and change functionality.,Check image upload and change functionality. The upload path should be correct. The uploaded images should be correct after upload is done.,checklists,0.76,rule:keywords,true
109,"Check image upload functionality with image files of different extensions (For Example, JPEG, PNG, BMP, etc.)","Check image upload functionality with image files of different extensions (For Example, JPEG, PNG, BMP, etc.).The uploaded images should be correct after upload is done.",checklists,0.76,rule:keywords,true
110,Check image upload functionality with images having space or any other allowed special character in the file name.,Check image upload functionality with images having space or any other allowed special character in the file name. The images with invalid names hsould not be accepted.,checklists,0.76,rule:keywords,true
111,Check duplicate name image upload.,Check duplicate name image upload.,checklists,0.76,rule:keywords,true
112,Check image upload with image size greater than the max allowed size. The Proper error message should be displayed.,Check image upload with image size greater than the max allowed size. The Proper error message should be displayed.,checklists,0.76,rule:keywords,true
113,"Check image upload functionality with file types other than images (For Example, txt, doc, pdf, exe, etc.). A proper error message should be displayed.","Check image upload functionality with file types other than images (For Example, txt, doc, pdf, exe, etc.). A proper error message should be displayed.",checklists,0.76,rule:keywords,true
114,Check if images of specified height and width (if defined) are accepted otherwise rejected.,Check if images of specified height and width (if defined) are accepted otherwise rejected.,unknown,0.7,rule:no-signal,true
115,The image upload progress bar should appear for large size images.,The image upload progress bar should appear for large size images.,checklists,0.76,rule:keywords,true
116,Check if the cancel button functionality is working in between the upload process.,Check if the cancel button functionality is working in between the upload process.,unknown,0.7,rule:no-signal,true
117,Check if file selection dialog shows only supported files listed.,Check if file selection dialog shows only supported files listed.,unknown,0.7,rule:no-signal,true
118,Check multiple images upload functionality.,Check multiple images upload functionality.,unknown,0.7,rule:no-signal,true
119,Check image quality after upload. Image quality should not be changed after upload.,Check image quality after upload. Image quality should not be changed after upload.,unknown,0.7,rule:no-signal,true
120,Check if the user is able to use/view the uploaded images.,Check if the user is able to use/view the uploaded images.,users,0.76,rule:keywords,true
121,The email template should use standard CSS for all emails.,The email template should use standard CSS for all emails.,checklists,0.76,rule:keywords,true
122,Email addresses should be validated before sending emails.,Email addresses should be validated before sending emails. All invalid email addrres hsould be notified in an error message.,checklists,0.76,rule:keywords,true
123,Special characters in the email body template should be handled properly.,Special characters in the email body template should be handled properly.,checklists,0.76,rule:keywords,true
124,"Language-specific characters (For Example, Russian, Chinese or German language characters) should be handled properly in the email body template.","Language-specific characters (For Example, Russian, Chinese or German language characters) should be handled properly in the email body template.",checklists,0.76,rule:keywords,true
125,Email subject should not be blank.,Email subject should not be blank. Email with blank subject should be blocked.,checklists,0.76,rule:keywords,true
126,Placeholder fields used in the email template should be replaced with actual values e.g. {Firstname} {Lastname} should be replaced with an individual’s first and last name properly for all the recipients.,Placeholder fields used in the email template should be replaced with actual values e.g. {Firstname} {Lastname} should be replaced with an individual’s first and last name properly for all the recipients.,checklists,0.76,rule:keywords,true
127,If reports with dynamic values are included in the email body and report data should be calculated correctly.,If reports with dynamic values are included in the email body and report data should be calculated correctly.,checklists,0.76,rule:keywords,true
128,Email sender name should not be blank.,Email sender name should not be blank.Email with blank sender name should be blocked.,checklists,0.76,rule:keywords,true
129,"Emails should be checked in different email clients like Outlook, Gmail, Hotmail, Yahoo! mail, etc.","Emails should be checked in different email clients like Outlook, Gmail, Hotmail, Yahoo! mail, etc.",checklists,0.76,rule:keywords,true
130,"Check to send email functionality using TO, CC and BCC fields.","Check to send email functionality using TO, CC and BCC fields.",checklists,0.76,rule:keywords,true
131,Check plain text emails.,Check plain text emails.,unknown,0.7,rule:no-signal,true
132,Check HTML format emails.,Check HTML format emails.,unknown,0.7,rule:no-signal,true
133,"Check email header and footer for company logo, privacy policy, and other links.","Check email header and footer for company logo, privacy policy, and other links. This should be as per the base document.",checklists,0.76,rule:keywords,true
134,Check emails with attachments.,Check emails with attachments.,unknown,0.7,rule:no-signal,true
135,"Check to send email functionality to single, multiple or distribution list recipients.","Check to send email functionality to single, multiple or distribution list recipients.",checklists,0.76,rule:keywords,true
136,Check if a reply to the email address is correct.,Check if a reply to the email address is correct.,checklists,0.76,rule:keywords,true
137,Check to send the high volume of emails.,Check to send the high volume of emails.,unknown,0.7,rule:no-signal,true
138,The file should get exported in the proper file extension.,The file should get exported in the proper file extension. These extension should be as per the base document.,unknown,0.7,rule:no-signal,true
139,The file name for the exported Excel file should be as per the standards.,"The file name for the exported Excel file should be as per the standards, For Example, if the file name is using the timestamp, it should get replaced properly with an actual timestamp at the time of exporting the file.",unknown,0.7,rule:no-signal,true
140,Date format.,Check for date format if exported Excel file contains the date columns.,unknown,0.7,rule:no-signal,true
141,Number formatting for numeric or currency values.,Check number formatting for numeric or currency values. Formatting should be the same as shown on the page.,unknown,0.7,rule:no-signal,true
142,The exported file should have columns with proper column names.,The exported file should have columns with proper column names.These ccolumn names hsould be as per the uplaoded base document.,unknown,0.7,rule:no-signal,true
143,Default page sorting.,Default page sorting should be carried in the exported file as well.,unknown,0.7,rule:no-signal,true
144,Excel file data formatting.,"Excel file data should be formatted properly with header and footer text, date, page numbers, etc. values for all pages.",unknown,0.7,rule:no-signal,true
145,Page vs exported Excel file,Check if the data displayed on a page and exported Excel file is the same.,unknown,0.7,rule:no-signal,true
146,Check export functionality when pagination is enabled.,Check export functionality when pagination is enabled.,unknown,0.7,rule:no-signal,true
147,Export button,"Check if the export button is showing proper icon according to the exported file type, For Example, Excel file icon for xls files",unknown,0.7,rule:no-signal,true
148,Export functionality,Check export functionality for files with very large size.,unknown,0.7,rule:no-signal,true
149,Export functionality for pages containing special characters.,Check export functionality for pages containing special characters. Check if these special characters are exported properly in the Excel file.,unknown,0.7,rule:no-signal,true
150,Check if the page load time is within the acceptable range.,Page load time should be withing acceptable range. This acceptablerange should be as per the gareed upon standards.,unknown,0.7,rule:no-signal,true
151,Check the page load on slow connections.,Page should load correctly and withign acceptable range in slow connections,unknown,0.7,rule:no-signal,true
157,CPU and memory usage.,Check CPU and memory usage under peak load conditions.,unknown,0.7,rule:no-signal,true
160,Graceful Page crash,Page crash should not reveal application or server info. The error page should be displayed for this.,unknown,0.7,rule:no-signal,true
161,Escape special characters in the input.,Escape special characters in the input.,unknown,0.7,rule:no-signal,true
162,Error messagess,Error messages should not reveal any sensitive information.,unknown,0.7,rule:no-signal,true
163,All credentials should be transferred over an encrypted channel.,All credentials should be transferred over an encrypted channel.,unknown,0.7,rule:no-signal,true
164,Password,Test password security and password policy enforcement.,login,0.76,rule:keywords,true
166,Check for Brute Force Attacks.,Check for Brute Force Attacks. System should be resistant to brute force attack,unknown,0.7,rule:no-signal,true
169,Session tokens,Session tokens should be transmitted over a secured channel.,login,0.76,rule:keywords,true
170,The password should not be stored in cookies.,The password should not be stored in cookies.,login,0.76,rule:keywords,true
171,Test for Denial of Service attacks.,Test for Denial of Service attacks.,unknown,0.7,rule:no-signal,true
172,Test for memory leakage.,Test for memory leakage.,unknown,0.7,rule:no-signal,true
173,Unauthorized access,Test unauthorized application access by manipulating variable values in the browser address bar.,unknown,0.7,rule:no-signal,true
174,File extension handing,Test file extension handing so that exe files are not uploaded and executed on the server.,unknown,0.7,rule:no-signal,true
175,Sensitive fields,Sensitive fields like passwords and credit card information should not have to autocomplete enabled.,unknown,0.7,rule:no-signal,true
176,File upload,File upload functionality should use file type restrictions and also anti-virus for scanning uploaded files.,unknown,0.7,rule:no-signal,true
177,Check if directory listing is prohibited.,Check if directory listing is prohibited.,unknown,0.7,rule:no-signal,true
178,Passwords and other sensitive fields should be masked while typing.,Passwords and other sensitive fields should be masked while typing.,unknown,0.7,rule:no-signal,true
179,forgot password functionality,Check if forgot password functionality is secured with features like temporary password expiry after specified hours and security question is asked before changing or requesting a new password.,login,0.76,rule:keywords,true
180,Verify CAPTCHA functionality.,Verify CAPTCHA functionality. The CAPTCHA shoul not be repeated.Everytime a new captcha should be generated.,login,0.76,rule:keywords,true
181,Check if important events are logged in log files.,Check if important events are logged in log files.,unknown,0.7,rule:no-signal,true
183,Environment to be production,,unknown,0.7,rule:no-signal,true
